date,AGL.AX,ANZ.AX,BHP.AX,CBA.AX,FMG.AX,NAB.AX,ORG.AX,RIO.AX,WBC.AX
2023-05-22,8.88,23.79,44.2,98.9,20.56,26.57,8.28,109.24,21.06
2023-05-23,9.01,23.97,43.8,99.44,20.45,26.67,8.25,109.38,21.26
2023-05-24,8.96,23.96,42.82,99.93,19.62,26.61,8.32,107.06,21.23
2023-05-25,9.12,23.35,42.15,97.72,19.0,26.04,8.27,105.4,20.89
2023-05-26,9.15,23.47,42.75,98.16,19.62,26.23,8.35,107.77,20.92
2023-05-29,9.39,23.74,43.36,99.57,19.86,26.57,8.37,109.1,21.16
2023-05-30,9.43,23.41,43.49,99.18,19.82,26.52,8.37,109.3,21.11
2023-05-31,9.39,22.92,42.02,96.78,19.22,25.97,8.33,107.0,20.68
2023-06-01,9.21,22.73,42.07,96.8,19.37,26.04,8.36,107.42,20.6
2023-06-02,9.37,22.77,43.25,96.91,19.69,25.79,8.37,110.15,20.54
2023-06-05,9.37,23.12,44.0,97.5,20.4,26.05,8.33,111.59,20.77
2023-06-06,9.54,22.74,43.6,96.56,20.36,25.76,8.35,111.33,20.34
2023-06-07,9.69,22.73,43.62,95.69,20.16,25.3,8.36,111.63,20.03
2023-06-08,9.9,22.68,44.13,95.89,20.5,25.16,8.4,114.0,20.19
2023-06-09,9.85,22.85,44.72,95.8,20.79,25.2,8.4,114.58,20.25
2023-06-13,9.95,22.93,44.29,96.52,20.8,25.22,8.42,112.88,20.3
2023-06-14,9.77,22.92,45.9,97.37,21.7,25.51,8.49,116.15,20.56
2023-06-15,9.66,23.13,46.25,97.99,22.48,25.65,8.48,117.75,20.6
2023-06-16,10.6,23.28,46.42,99.35,22.51,25.85,8.48,118.0,20.91
2023-06-19,10.75,23.62,46.1,100.51,22.33,26.06,8.49,116.63,21.15
2023-06-20,11.06,23.8,46.72,101.62,22.4,26.5,8.45,117.4,21.43
2023-06-21,11.04,23.68,46.22,101.68,22.02,26.53,8.44,115.79,21.22
2023-06-22,11.03,23.3,45.12,100.08,21.53,26.15,8.46,114.39,21.04
2023-06-23,11.06,22.82,44.6,98.51,21.41,25.78,8.46,113.13,20.75
2023-06-26,10.98,22.77,44.45,97.93,21.34,25.57,8.43,112.74,20.68
2023-06-27,10.77,23.12,45.11,98.43,21.95,25.75,8.41,114.64,21.01
2023-06-28,10.81,23.43,45.42,99.54,22.01,26.25,8.4,115.79,21.4
2023-06-29,10.73,23.71,44.95,100.07,22.11,26.35,8.41,114.46,21.42
2023-06-30,10.81,23.71,44.99,100.27,22.18,26.37,8.41,114.69,21.34
2023-07-03,10.98,23.91,45.26,100.94,22.27,26.39,8.46,115.49,21.43
2023-07-04,10.99,24.19,45.2,102.28,22.08,26.72,8.46,114.15,21.68
2023-07-05,11.25,23.99,45.0,101.78,22.13,26.52,8.46,114.15,21.52
2023-07-06,11.15,23.53,43.97,100.43,21.75,25.96,8.43,112.58,21.15
2023-07-07,11.07,23.28,43.2,98.73,21.67,25.66,8.43,111.75,20.85
2023-07-10,11.03,23.26,42.72,98.52,21.23,25.64,8.46,110.48,20.84
2023-07-11,11.14,23.8,43.33,99.62,21.65,26.18,8.47,111.91,21.17
2023-07-12,11.15,24.02,44.07,99.15,22.19,26.42,8.47,113.75,21.21
2023-07-13,11.21,24.36,44.73,100.62,22.48,26.55,8.5,117.2,21.46
2023-07-14,11.4,24.44,45.52,101.33,22.79,26.92,8.58,119.02,21.46
2023-07-17,11.48,24.54,45.26,101.87,22.49,27.12,8.58,117.85,21.43
2023-07-18,11.8,24.95,44.82,102.57,22.71,27.67,8.58,116.88,21.6
2023-07-19,11.8,25.46,44.67,104.65,22.29,27.98,8.64,116.01,22.06
2023-07-20,11.86,25.35,44.62,105.25,22.59,27.94,8.62,116.43,22.12
2023-07-21,12.0,25.16,45.02,104.55,22.54,27.9,8.64,116.78,21.98
2023-07-24,12.11,25.12,44.34,104.43,22.19,27.69,8.59,115.25,21.96
2023-07-25,12.12,25.06,45.82,104.2,23.2,27.61,8.55,119.18,21.73
2023-07-26,12.17,25.46,46.88,105.0,23.73,28.04,8.48,120.81,22.09
2023-07-27,12.23,25.78,46.18,106.53,22.92,28.47,8.47,117.8,22.35
2023-07-28,12.27,25.76,45.8,105.5,21.68,28.38,8.52,116.62,22.28
2023-07-31,12.19,25.75,46.01,105.71,21.68,28.42,8.47,117.07,22.34
2023-08-01,12.28,25.88,46.37,105.85,21.98,28.58,8.49,116.87,22.43
2023-08-02,11.69,25.35,45.85,103.46,21.55,28.11,8.39,115.82,21.98
2023-08-03,11.64,25.26,45.31,102.46,21.28,27.93,8.41,113.88,21.9
2023-08-04,11.46,25.45,45.8,101.87,21.39,27.95,8.42,114.83,21.98
2023-08-07,11.55,25.3,45.57,101.85,21.05,27.96,8.45,113.94,21.83
2023-08-08,11.6,25.24,45.32,102.21,21.14,28.03,8.44,113.46,21.71
2023-08-09,11.58,25.43,45.5,104.85,21.18,28.64,8.43,112.85,22.07
2023-08-10,11.22,25.4,45.78,104.47,21.47,28.6,8.43,109.65,22.14
2023-08-11,11.15,25.35,45.73,104.4,21.0,28.56,8.43,109.0,22.15
2023-08-14,10.98,25.13,44.75,103.7,20.62,28.33,8.42,106.52,21.91
2023-08-15,11.03,25.08,44.62,103.51,20.82,28.7,8.45,106.05,21.97
2023-08-16,11.0,24.82,43.11,99.79,20.19,28.4,8.36,103.65,21.78
2023-08-17,10.84,24.59,43.11,99.65,20.13,27.81,8.51,104.77,21.36
2023-08-18,10.94,24.49,43.69,99.05,20.33,27.68,8.67,105.69,21.27
2023-08-21,10.91,24.24,43.52,98.45,20.42,27.57,8.69,104.82,20.62
2023-08-22,11.16,24.3,43.21,98.67,20.5,27.93,8.66,105.32,20.88
2023-08-23,11.03,24.45,44.03,99.45,21.02,28.04,8.68,107.84,21.14
2023-08-24,11.04,24.56,43.78,100.61,21.06,28.39,8.69,108.83,21.43
2023-08-25,10.96,24.34,43.02,99.57,20.93,27.89,8.65,107.9,21.32
2023-08-28,11.11,24.58,43.55,100.78,19.87,28.26,8.67,108.68,21.38
2023-08-29,11.1,24.8,44.09,101.03,20.5,28.41,8.69,109.88,21.55
2023-08-30,11.07,25.04,44.73,101.84,21.42,28.85,8.71,112.23,21.72
2023-08-31,11.09,25.33,44.85,102.18,21.43,28.96,8.71,112.9,21.95
2023-09-01,11.04,25.17,44.74,101.35,20.3,28.9,8.72,114.23,21.79
2023-09-04,11.08,25.19,45.93,102.01,20.2,28.95,8.63,117.12,21.83
2023-09-05,11.03,25.2,46.1,102.22,20.05,29.01,8.38,117.32,21.53
2023-09-06,10.96,25.06,46.1,101.51,20.34,28.66,8.37,115.98,21.19
2023-09-07,10.85,24.87,43.71,100.9,19.87,28.59,8.43,113.1,21.12
2023-09-08,10.96,24.93,43.19,100.81,19.4,28.65,8.52,111.17,21.17
2023-09-11,10.94,25.28,43.66,102.04,19.63,29.05,8.55,112.4,21.55
2023-09-12,10.99,25.27,44.19,102.11,19.96,29.11,8.53,114.11,21.56
2023-09-13,10.98,25.33,43.8,101.7,19.6,28.98,8.59,113.39,21.49
2023-09-14,10.97,25.6,44.14,102.13,20.41,29.31,8.6,115.45,21.62
2023-09-15,10.92,25.7,45.68,103.16,21.22,29.68,8.64,118.91,21.77
2023-09-18,10.96,25.75,45.76,102.63,21.2,29.58,8.67,119.31,21.79
2023-09-19,10.98,25.51,45.1,102.13,20.97,29.38,8.7,118.54,21.69
2023-09-20,10.75,25.54,44.64,101.84,20.61,29.39,8.67,117.03,21.53
2023-09-21,10.79,25.05,44.1,100.08,20.51,28.75,8.7,115.9,20.99
2023-09-22,10.71,25.03,44.34,100.06,20.81,28.88,8.86,114.57,21.14
2023-09-25,11.03,24.98,44.15,99.88,20.54,28.86,8.89,113.18,21.12
2023-09-26,11.03,25.09,43.3,100.08,20.11,28.88,8.86,110.9,21.05
2023-09-27,10.89,25.2,43.49,100.53,20.37,29.04,8.88,111.05,21.19
2023-09-28,10.8,25.48,43.73,99.95,20.66,28.88,8.83,112.4,21.13
2023-09-29,10.73,25.66,44.25,99.97,20.92,29.07,8.78,113.55,21.15
2023-10-02,10.69,25.49,44.6,99.85,21.06,28.96,8.87,114.84,21.13
2023-10-03,10.24,25.41,43.84,99.69,20.73,28.79,8.73,112.8,21.05
2023-10-04,10.37,24.92,43.72,98.09,20.78,28.31,8.71,113.62,20.74
2023-10-05,10.55,25.09,43.43,98.98,20.78,28.51,8.66,111.91,21.01
2023-10-06,10.41,25.32,43.97,100.04,21.06,28.94,8.72,113.19,21.44
2023-10-09,10.48,25.43,44.03,100.03,20.67,28.96,8.73,113.2,21.42
2023-10-10,10.89,25.57,44.15,100.7,20.83,29.15,9.21,112.2,21.48
2023-10-11,10.86,25.65,44.73,100.64,21.16,29.29,9.21,113.79,21.44
2023-10-12,10.89,25.86,44.84,101.6,21.33,29.56,9.26,114.85,21.63
2023-10-13,10.95,25.71,45.01,100.97,21.47,29.32,9.27,114.74,21.48
2023-10-16,10.8,25.55,45.18,100.67,21.54,29.13,9.3,115.72,21.31
2023-10-17,10.77,25.76,45.57,101.2,21.83,29.37,9.3,117.11,21.48
2023-10-18,10.78,25.82,45.88,101.42,21.91,29.55,9.21,117.41,21.45
2023-10-19,10.7,25.63,45.23,99.78,21.87,29.12,9.22,115.47,21.15
2023-10-20,10.71,25.27,44.43,98.75,21.39,28.65,9.19,114.62,20.86
2023-10-23,10.64,25.22,43.36,97.82,20.81,28.56,9.19,111.85,20.84
2023-10-24,10.45,25.18,43.59,98.07,21.35,28.56,9.16,113.6,20.88
2023-10-25,10.5,24.85,44.72,97.35,22.02,28.32,9.1,116.27,20.8
2023-10-26,10.75,24.79,44.93,97.0,22.21,28.2,9.19,117.67,20.57
2023-10-27,10.89,24.85,45.06,97.8,22.25,28.4,9.21,117.73,20.67
2023-10-30,10.86,24.55,45.11,96.22,22.28,27.88,9.17,118.3,20.46
2023-10-31,10.75,24.71,44.5,96.56,22.3,28.05,9.13,117.58,20.6
2023-11-01,10.77,24.87,45.19,96.87,22.86,28.16,9.07,120.44,20.74
2023-11-02,10.52,25.37,45.38,98.43,23.25,28.57,8.47,121.76,21.17
2023-11-03,10.59,25.6,45.5,99.93,23.23,29.06,8.38,122.6,21.5
2023-11-06,10.5,25.74,45.44,100.42,23.22,29.34,8.54,121.5,21.92
2023-11-07,10.6,25.47,45.56,100.01,23.36,29.04,8.64,121.81,21.33
2023-11-08,10.6,25.56,44.7,100.69,23.1,29.17,8.74,119.37,21.65
2023-11-09,10.59,25.81,44.95,102.11,23.45,28.94,8.87,120.12,21.19
2023-11-10,10.54,25.47,45.27,101.32,23.75,28.46,8.65,120.42,20.86
2023-11-13,10.45,24.7,45.4,101.31,23.69,28.9,8.78,120.13,20.8
2023-11-14,10.54,24.76,46.02,102.28,24.34,27.97,8.5,122.49,21.01
2023-11-15,10.54,25.01,46.84,102.15,25.18,28.08,8.57,125.61,21.15
2023-11-16,10.49,24.19,46.56,102.29,25.2,27.75,8.74,125.17,21.15
2023-11-17,10.45,24.07,46.61,102.47,25.22,27.73,8.6,125.62,21.1
2023-11-20,10.38,24.25,46.74,103.17,25.3,27.93,8.53,125.0,21.22
2023-11-21,10.24,24.29,47.4,103.7,25.47,27.95,8.28,127.37,21.29
2023-11-22,10.23,24.34,47.84,103.8,25.44,27.99,8.42,127.76,21.23
2023-11-23,9.93,24.31,47.15,102.96,24.95,27.99,8.33,126.5,21.31
2023-11-24,9.96,24.4,47.21,103.69,25.03,27.97,8.56,126.8,21.33
2023-11-27,9.86,24.13,46.52,102.61,24.51,28.02,8.53,125.19,21.1
2023-11-28,9.8,24.36,46.43,103.34,24.88,28.36,8.47,124.88,21.25
2023-11-29,9.69,24.18,46.19,103.33,24.78,28.1,8.4,124.58,21.15
2023-11-30,9.43,24.37,46.3,104.66,24.99,28.4,8.24,125.04,21.37
2023-12-01,9.43,24.43,46.34,104.19,25.2,28.43,8.18,124.91,21.27
2023-12-04,9.13,24.45,47.14,105.12,25.29,28.65,7.86,126.92,21.39
2023-12-05,8.96,24.39,46.52,104.71,25.07,28.77,8.03,125.6,21.42
2023-12-06,9.11,24.7,47.23,106.34,25.08,29.32,8.0,126.45,21.79
2023-12-07,9.42,24.6,47.42,106.27,25.48,29.19,7.95,127.76,21.91
2023-12-08,9.68,24.61,47.74,106.44,25.75,29.2,7.84,128.89,21.92
2023-12-11,9.59,24.61,47.54,106.94,25.94,29.3,7.8,128.9,21.94
2023-12-12,9.6,24.8,47.56,107.41,26.36,29.52,7.88,128.53,21.94
2023-12-13,9.48,24.99,47.87,108.15,26.71,29.76,7.85,129.5,22.14
2023-12-14,9.53,25.24,48.25,109.52,27.46,29.95,7.99,130.04,22.29
2023-12-15,9.23,25.54,49.41,110.07,27.85,30.18,7.98,132.86,22.49
2023-12-18,9.09,25.53,49.34,110.0,27.79,30.19,8.02,133.26,22.48
2023-12-19,9.14,25.63,49.62,110.6,28.09,30.35,8.28,134.24,22.65
2023-12-20,9.21,25.81,49.8,110.97,27.88,30.55,8.42,134.37,22.88
2023-12-21,9.45,25.83,49.74,110.56,28.03,30.48,8.4,134.4,22.85
2023-12-22,9.36,25.8,49.73,110.5,28.35,30.39,8.4,134.4,22.84
2023-12-27,9.39,25.82,50.26,111.19,28.55,30.51,8.37,135.12,22.88
2023-12-28,9.46,25.98,50.72,112.29,29.14,30.73,8.39,136.29,23.01
2023-12-29,9.48,25.92,50.41,111.8,29.02,30.7,8.47,135.66,22.9
2024-01-02,9.7,25.99,50.54,113.61,29.39,30.86,8.47,136.57,23.08
2024-01-03,9.65,25.74,49.77,112.13,28.84,30.59,8.43,134.72,22.87
2024-01-04,9.64,25.54,49.58,111.49,28.93,30.46,8.45,134.5,22.64
2024-01-05,9.63,25.62,49.07,112.99,28.19,30.56,8.43,132.36,22.86
2024-01-08,9.51,25.66,48.66,111.98,27.75,30.51,8.42,131.52,22.88
2024-01-09,9.47,25.89,48.97,113.02,28.06,30.9,8.42,131.9,23.1
2024-01-10,9.32,25.83,47.86,112.04,27.56,30.72,8.33,128.9,22.96
2024-01-11,9.25,26.06,47.81,113.6,27.04,30.97,8.32,128.4,23.24
2024-01-12,9.05,25.9,47.71,113.63,27.37,30.91,8.26,129.15,23.19
2024-01-15,8.97,25.95,47.18,113.66,27.24,30.95,8.22,128.32,23.29
2024-01-16,8.89,25.74,46.5,113.0,26.65,30.73,8.02,126.66,23.07
2024-01-17,8.93,25.76,46.57,112.33,26.78,30.74,8.11,126.54,22.9
2024-01-18,8.74,25.79,45.73,112.48,27.05,30.89,8.21,126.86,22.85
2024-01-19,8.75,26.13,45.73,113.28,27.58,31.28,8.13,128.0,23.2
2024-01-22,8.58,26.5,45.85,114.8,27.83,31.63,8.13,128.03,23.45
2024-01-23,8.72,26.62,46.3,115.66,28.05,31.93,8.13,127.8,23.64
2024-01-24,8.78,26.59,46.86,114.7,28.39,31.87,8.27,129.02,23.56
2024-01-25,8.8,26.67,47.54,114.86,28.97,31.79,8.28,132.63,23.7
2024-01-29,8.78,26.85,46.87,115.92,29.25,32.14,8.32,131.82,23.93
2024-01-30,8.72,26.79,47.05,116.05,29.7,32.13,8.3,132.46,23.82
2024-01-31,8.67,27.2,47.27,117.53,29.88,32.6,8.52,132.92,24.18
2024-02-01,8.54,26.92,47.11,114.1,29.5,31.9,8.42,132.29,23.77
2024-02-02,8.17,27.26,47.61,115.81,29.73,32.25,8.47,132.0,24.05
2024-02-05,7.95,27.21,46.45,115.48,28.9,32.34,8.35,129.12,24.18
2024-02-06,7.84,27.43,45.96,114.37,28.05,32.2,8.27,128.41,24.15
2024-02-07,7.98,27.42,46.44,114.55,28.33,32.13,8.49,129.61,24.27
2024-02-08,8.8,27.65,46.42,115.87,28.48,32.46,8.35,129.28,24.41
2024-02-09,8.56,27.68,46.3,116.24,28.26,32.37,8.38,129.87,24.37
2024-02-12,8.7,28.04,46.07,115.73,28.49,32.65,8.42,128.93,24.5
2024-02-13,8.8,28.21,46.32,116.0,28.28,32.93,8.54,129.0,24.55
2024-02-14,8.65,27.81,45.95,114.07,27.69,32.51,8.57,128.26,24.12
2024-02-15,8.4,28.22,45.17,114.16,28.08,32.85,8.78,127.39,24.37
2024-02-16,8.63,28.42,45.61,116.28,28.4,33.07,8.73,128.96,24.57
2024-02-19,8.68,28.5,46.04,117.13,28.4,33.17,8.69,130.96,25.24
2024-02-20,8.56,27.88,45.54,116.95,28.21,33.49,8.67,128.04,25.9
2024-02-21,8.34,28.1,44.47,114.62,27.25,33.61,8.86,125.8,25.89
2024-02-22,8.41,28.02,44.3,114.45,27.83,33.48,9.12,124.36,25.87
2024-02-23,8.39,28.29,44.55,114.83,28.21,33.86,9.07,124.4,25.94
2024-02-26,8.51,28.37,43.97,115.92,27.85,33.9,9.04,122.58,26.04
2024-02-27,8.47,28.51,44.04,117.12,27.52,34.08,8.98,123.13,26.25
2024-02-28,8.55,28.48,43.95,115.96,26.0,33.88,8.95,123.38,26.2
2024-02-29,8.5,28.45,43.93,116.41,25.93,33.84,8.99,123.78,26.35
2024-03-01,8.66,28.75,44.92,117.36,26.21,34.04,9.01,124.87,26.41
2024-03-04,8.58,28.81,44.23,118.12,25.36,34.14,8.9,123.41,26.67
2024-03-05,8.69,28.73,44.63,116.94,25.84,33.76,8.74,124.77,26.65
2024-03-06,8.68,29.02,44.35,118.31,25.75,34.1,8.75,123.64,26.94
2024-03-07,8.56,29.3,43.86,119.25,26.04,34.32,8.86,120.62,27.0
2024-03-08,8.76,29.81,43.95,121.45,25.96,35.11,8.93,119.89,27.7
2024-03-11,8.62,29.24,42.82,118.13,25.04,34.03,8.85,115.59,26.82
2024-03-12,8.7,29.3,42.52,117.74,24.75,33.88,8.95,115.35,27.01
2024-03-13,8.63,29.8,41.95,117.55,24.5,34.45,9.01,116.95,27.5
2024-03-14,8.66,28.68,43.06,116.22,24.53,33.5,8.99,119.19,26.47
2024-03-15,8.61,28.69,42.41,115.54,23.96,33.81,9.12,116.95,26.19
2024-03-18,8.78,28.86,42.41,116.46,23.69,34.03,9.05,117.48,26.33
2024-03-19,8.94,28.8,43.59,115.78,24.54,33.94,9.11,120.39,26.25
2024-03-20,8.75,28.69,43.81,115.65,24.75,33.91,9.08,121.3,26.18
2024-03-21,8.49,29.01,44.15,118.0,25.17,34.78,9.07,121.14,26.67
2024-03-22,8.37,29.04,43.79,117.48,24.64,34.76,9.13,120.56,26.47
